,RGDP,PRGRD
1959-03-31,,
1959-06-30,,
1959-09-30,,
1959-12-31,,
1960-03-31,0.049271029258767696,0.03954531254915783
1960-06-30,0.020582762703688084,0.04036223797883998
1960-09-30,0.024846516976961164,0.04066037455091065
1960-12-31,0.00881776687946867,0.040754353707457946
1961-03-31,-0.006694941047214464,0.04066930187818052
1961-06-30,0.015644451592467634,0.040379128314270485
1961-09-30,0.03010113838331918,0.040408875537182753
1961-12-31,0.06395774269192933,0.040554819535083775
1962-03-31,0.07567337651122097,0.040827318805671586
1962-06-30,0.06727713226025878,0.041565485275458336
1962-09-30,0.06003977369261104,0.0421020279701545
1962-12-31,0.04307008332458495,0.042732890381293354
1963-03-31,0.03597858775893181,0.04317581049559882
1963-06-30,0.0382214372014702,0.04357851687150438
1963-09-30,0.04816912675835705,0.0439094328000289
1963-12-31,0.05158263835975352,0.04425465900847336
1964-03-31,0.06215835107795642,0.04446522108021611
1964-06-30,0.06180732430442992,0.044698117740002985
1964-09-30,0.05519819986667662,0.044835267289573766
1964-12-31,0.051563624698257815,0.0448014443346465
1965-03-31,0.054771475886737475,0.045073121378255365
1965-06-30,0.05659292280884887,0.04490508056279574
1965-09-30,0.06346922615671091,0.04505021304298684
1965-12-31,0.08462169736040948,0.04527167281775624
1966-03-31,0.08477489783524694,0.045354399494431874
1966-06-30,0.07490174733793453,0.04576065747484459
1966-09-30,0.06042896625657579,0.04591708813680162
1966-12-31,0.04505002704572991,0.04590400167645914
1967-03-31,0.02925050599168122,0.045887925690689224
1967-06-30,0.02637486948032075,0.04580366972351313
1967-09-30,0.027384763393392797,0.045623268678261164
1967-12-31,0.02670862011171815,0.04575595171883018
1968-03-31,0.038451879810150524,0.045834556105463164
1968-06-30,0.05515592602630459,0.045855344859328184
1968-09-30,0.05336684340654596,0.046056510609908896
1968-12-31,0.049595600206505885,0.046165703538039615
1969-03-31,0.04471599002376414,0.04569833165972659
1969-06-30,0.030671449048257138,0.044660033775915764
1969-09-30,0.029500814269305398,0.04279930523865705
1969-12-31,0.020466568237684335,0.040317494332671844
1970-03-31,0.003249397177786273,0.037893968942136036
1970-06-30,0.0016281827163016072,0.03563354256054585
1970-09-30,0.004225907196300227,0.03365881707241414
1970-12-31,-0.001667093115099605,0.03195570049135266
1971-03-31,0.026972442943454578,0.03068657068242797
1971-06-30,0.031066227041022687,0.030014447910921893
1971-09-30,0.03005897386713885,0.029783525888909645
1971-12-31,0.043672084142996725,0.02991242085882928
1972-03-31,0.03476071582284401,0.030201007575654915
1972-06-30,0.052551813463878716,0.03043857990441423
1972-09-30,0.05381924715632702,0.03069597431837434
1972-12-31,0.06894469201134878,0.030941881821328954
1973-03-31,0.07561894130622826,0.03131477350235756
1973-06-30,0.06319667402603324,0.03207781256736131
1973-09-30,0.047710808846556096,0.03288143422004186
1973-12-31,0.040237570999252625,0.03381751098803676
1974-03-31,0.006387757282945383,0.0346492281697699
1974-06-30,-0.0020841156656143944,0.03508423432170882
1974-09-30,-0.00628980807528956,0.03527266624320036
1974-12-31,-0.019454395631254395,0.03511610073603588
1975-03-31,-0.022990596636949245,0.03457855137738508
1975-06-30,-0.0183426120961806,0.033768969813571026
1975-09-30,0.007986824656804892,0.03296608200970175
1975-12-31,0.025539986817473936,0.032268107393909506
1976-03-31,0.061523864866092515,0.03177182518882149
1976-06-30,0.06172572389849318,0.031578887938652045
1976-09-30,0.049586307175719435,0.03170277377813435
1976-12-31,0.043148126414503496,0.031944336001281215
1977-03-31,0.032259784362000055,0.032450406589288994
1977-06-30,0.04466339250302265,0.033020383312657664
1977-09-30,0.0577089198887224,0.03346484873212274
1977-12-31,0.05012029616689939,0.034003781599669214
1978-03-31,0.041170696113854266,0.03448630653353413
1978-06-30,0.0607813948625342,0.03493402769426046
1978-09-30,0.05245776457584528,0.03549071002785875
1978-12-31,0.06658100953903645,0.035958014847113695
1979-03-31,0.06509898984026496,0.036467734393567985
1979-06-30,0.02656870067032835,0.03628115610868843
1979-09-30,0.023899265371251532,0.035158408075887104
1979-12-31,0.012845638511357338,0.03312098654570228
1980-03-31,0.014207812865719038,0.029977270852884708
1980-06-30,-0.0077507055423842175,0.02641941855983121
1980-09-30,-0.01623808683374517,0.02262076240363431
1980-12-31,-0.00039142026726624035,0.020096240402444288
1981-03-31,0.015999816310917847,0.01932640124342133
1981-06-30,0.02968692439455367,0.020215798539579
1981-09-30,0.04325757378684414,0.022680882501341593
1981-12-31,0.01299912600434272,0.02524671820944069
1982-03-31,-0.0219034230684082,0.027403242016739604
1982-06-30,-0.010105489634705478,0.02923104138909549
1982-09-30,-0.025558978151038914,0.030753531846370086
1982-12-31,-0.014431539363715773,0.03196946697824288
1983-03-31,0.014314605795718638,0.03269436082737176
1983-06-30,0.03268532859372186,0.033221546002196956
1983-09-30,0.05737170064741792,0.033654117581773946
1983-12-31,0.07899981433288383,0.03412801742743121
1984-03-31,0.08578274046508594,0.034925046583501596
1984-06-30,0.07996700800200651,0.035837411378786266
1984-09-30,0.06900836952300837,0.0367236427356048
1984-12-31,0.055758033529916595,0.037428752720763514
1985-03-31,0.04555112929721106,0.03784717730432674
1985-06-30,0.036842273957041094,0.038003041267449245
1985-09-30,0.04262457522118934,0.037942474849589125
1985-12-31,0.04182238802676563,0.03765959469734437
1986-03-31,0.04145523524500172,0.037266791789098974
1986-06-30,0.037015325720980874,0.036774827136405674
1986-09-30,0.031192309544910257,0.03627563775998843
1986-12-31,0.029081512389265374,0.035821679854035615
1987-03-31,0.02716134287067362,0.03538617059543636
