,nonfin,hh,totPrivate,centralGovt
1946-03-31,,,,
1946-06-30,,,,
1946-09-30,,,,
1946-12-31,,,,
1947-03-31,,,,
1947-06-30,,,,
1947-09-30,,,,
1947-12-31,,,,
1948-03-31,,,,
1948-06-30,,,,
1948-09-30,,,,
1948-12-31,,,,
1949-03-31,,,,
1949-06-30,,,,
1949-09-30,,,,
1949-12-31,,,,
1950-03-31,,,,
1950-06-30,,,,
1950-09-30,,,,
1950-12-31,,,,
1951-03-31,,,,
1951-06-30,,,,
1951-09-30,,,,
1951-12-31,,,,
1952-03-31,,,,
1952-06-30,,,,
1952-09-30,,,,
1952-12-31,,,,
1953-03-31,0.02287231300582503,0.03558946337440072,0.058461776380225754,0.017454507964328108
1953-06-30,0.021531643986327984,0.03603072375424062,0.0575623677405686,0.00995790672088501
1953-09-30,0.01951831807572645,0.034810862768456775,0.05432918084418326,0.030876522032563844
1953-12-31,0.013140917687903174,0.03254916185195741,0.04569007953986058,0.03602093426950286
1954-03-31,0.012619860125342225,0.02625958556618095,0.03887944569152318,0.04516731759851554
1954-06-30,0.011009502202677376,0.02445865415245481,0.03546815635513218,0.04857026683345374
1954-09-30,0.012084522603811826,0.026509222600742743,0.03859374520455453,0.025460618522951603
1954-12-31,0.015382729515127563,0.03075795403943623,0.04614068355456383,0.021879549900683908
1955-03-31,0.015379848114013767,0.037857715222248865,0.05323756333626263,0.007211800335534015
1955-06-30,0.02048005845345077,0.04488864427848894,0.0653687027319397,-5.9307478435746905e-05
1955-09-30,0.021653987136843595,0.048389083749979654,0.07004307088682325,0.000271953251933352
1955-12-31,0.028131377375930026,0.048296468478032054,0.07642784585396212,-0.0033722877563533296
1956-03-31,0.031233939592401037,0.044618939114852686,0.07585287870725366,-0.0012893806879426017
1956-06-30,0.03183336696486621,0.039765924530840095,0.0715992914957063,-0.0049034775005045
1956-09-30,0.03168946189086219,0.03486106770746754,0.06655052959832973,-0.013249377757978348
1956-12-31,0.027876289734462885,0.032224087494543585,0.06010037722900641,-0.017384675858863784
1957-03-31,0.0271042341185962,0.03030573950730023,0.05740997362589649,-0.0027353287396840323
1957-06-30,0.027081192733435764,0.02977172819236269,0.05685292092579845,-0.015073354165563284
1957-09-30,0.025535464764645768,0.0288306325470813,0.054366097311727125,0.0004609063796951003
1957-12-31,0.0255230971393915,0.025636813908824378,0.05115991104821588,0.021772549614205328
1958-03-31,0.024397912478076763,0.0217243444411173,0.046122256919194124,0.026117551439449056
1958-06-30,0.020831479433363404,0.01838009398743164,0.039211573420795044,0.05151511299255478
1958-09-30,0.019920097315788494,0.018765398556317786,0.03868549587210622,0.022721425322276192
1958-12-31,0.022289837955780684,0.023613015583869686,0.045902853539650366,0.014354775750417857
1959-03-31,0.02213861618952443,0.029247741657358998,0.05138635784688337,0.006721141222346338
1959-06-30,0.027639753335386954,0.035120816296854686,0.06276056963224169,-0.0007289731427926916
1959-09-30,0.028428635097917498,0.03990598704083926,0.06833462213875681,0.021303382257149065
1959-12-31,0.02790200529701096,0.041513431706394224,0.06941543700340519,0.011802875520242104
1960-03-31,0.028875071869794013,0.037926980289248256,0.06680205215904232,0.020068257876192274
1960-06-30,0.02708287129444813,0.03770606934279592,0.064788940637244,0.024591557625489834
1960-09-30,0.02526007873842564,0.03454886694379077,0.059808945682216307,0.027574944465216557
1960-12-31,0.02540184414204449,0.03248074313630026,0.0578825872783447,0.03091094545138169
1961-03-31,0.02250934831510152,0.03199160394702561,0.05450095226212713,0.01954981303369792
1961-06-30,0.02122780332826325,0.030145172758282383,0.05137297608654569,0.016992322854134226
1961-09-30,0.022342442007948403,0.0289044223343386,0.051246864342287,0.019173313791256724
1961-12-31,0.02426405241366006,0.031070663368996887,0.055334715782656994,0.017516000358242613
1962-03-31,0.024996085944247032,0.031240057035788756,0.05623614298003574,0.02756505329007955
1962-06-30,0.0279429547975735,0.03251016879703381,0.060453123594607264,0.028297738379588412
1962-09-30,0.028642408300452997,0.03523489106394298,0.06387729936439603,0.021128784109735683
1962-12-31,0.029502841837067997,0.03568792055922127,0.06519076239628922,0.026406219376755743
1963-03-31,0.03000617689070763,0.03768385901246959,0.06769003590317726,0.01830708154782591
1963-06-30,0.02920038364308487,0.04094627726470108,0.07014666090778586,0.019058295964125577
1963-09-30,0.028322088497992084,0.04191054614520422,0.07023263464319626,0.012792422615463917
1963-12-31,0.029648070612198717,0.04351941621376951,0.07316748682596819,0.008210258464869802
1964-03-31,0.029224181946845562,0.04394152476329531,0.07316570671014087,0.008017055277372119
1964-06-30,0.03066862735274966,0.04353636650291594,0.07420499385566559,0.010821101147237104
1964-09-30,0.03175435782501072,0.04173945964848395,0.0734938174734947,0.01722032683506949
1964-12-31,0.03160103195237761,0.04147169372984242,0.0730727256822201,0.018354583770125263
1965-03-31,0.03502277824990602,0.03969963359757037,0.07472241184747627,0.01927583276445759
1965-06-30,0.03698073517750833,0.03892680134375797,0.07590753652126637,0.014248326807643473
1965-09-30,0.03762596370323614,0.03796093273528237,0.07558689643851851,0.006324375469590594
1965-12-31,0.038342594547953794,0.03722580737105449,0.07556840191900828,0.003656117648735456
1966-03-31,0.04015412185479067,0.035629996958782675,0.07578411881357335,0.004640998122488219
1966-06-30,0.043632085726246946,0.035325057361602366,0.07895714308784939,0.00012919559592087886
1966-09-30,0.04327154182700166,0.03102101171492786,0.07429255354192951,0.004725256759691461
1966-12-31,0.04129955286318768,0.02703701659182382,0.06833656945501157,0.01611060575877654
1967-03-31,0.03928592582062854,0.022693296373953092,0.06197922219458169,0.02177168105950219
